Date,up,down,sum,ma150_changes
2021-03-04,0,0,0,
2021-03-05,456,41,415,
2021-03-08,330,167,163,
2021-03-09,253,244,9,
2021-03-10,374,122,252,
2021-03-11,302,194,108,
2021-03-12,335,160,175,
2021-03-15,367,128,239,
2021-03-16,151,341,-190,
2021-03-17,301,192,109,
2021-03-18,177,320,-143,
2021-03-19,232,263,-31,
2021-03-22,285,209,76,
2021-03-23,122,375,-253,
2021-03-24,255,239,16,
2021-03-25,399,97,302,
2021-03-26,449,48,401,
2021-03-29,197,300,-103,
2021-03-30,241,256,-15,
2021-03-31,211,285,-74,
2021-04-01,376,117,259,
2021-04-05,403,93,310,
2021-04-06,265,229,36,
2021-04-07,181,315,-134,
2021-04-08,253,243,10,
2021-04-09,354,140,214,
2021-04-12,310,186,124,
2021-04-13,235,260,-25,
2021-04-14,252,242,10,
2021-04-15,385,109,276,
2021-04-16,353,143,210,
2021-04-19,165,329,-164,
2021-04-20,185,307,-122,
2021-04-21,409,86,323,
2021-04-22,142,354,-212,
2021-04-23,399,97,302,
2021-04-26,260,233,27,
2021-04-27,274,220,54,
2021-04-28,230,266,-36,
2021-04-29,384,111,273,
2021-04-30,134,363,-229,
2021-05-03,327,167,160,
2021-05-04,240,257,-17,
2021-05-05,271,226,45,
2021-05-06,365,129,236,
2021-05-07,395,97,298,
2021-05-10,214,278,-64,
2021-05-11,90,407,-317,
2021-05-12,31,466,-435,
2021-05-13,439,58,381,
2021-05-14,426,71,355,
2021-05-17,196,300,-104,
2021-05-18,105,391,-286,
2021-05-19,143,352,-209,
2021-05-20,352,146,206,
2021-05-21,274,220,54,
2021-05-24,369,127,242,
2021-05-25,163,334,-171,
2021-05-26,318,177,141,
2021-05-27,319,178,141,
2021-05-28,287,205,82,
2021-06-01,281,217,64,
2021-06-02,253,242,11,
2021-06-03,234,261,-27,
2021-06-04,347,150,197,
2021-06-07,163,331,-168,
2021-06-08,278,218,60,
2021-06-09,169,326,-157,
2021-06-10,286,210,76,
2021-06-11,345,149,196,
2021-06-14,184,312,-128,
2021-06-15,270,223,47,
2021-06-16,102,396,-294,
2021-06-17,186,310,-124,
2021-06-18,53,445,-392,
2021-06-21,475,23,452,
2021-06-22,263,231,32,
2021-06-23,203,292,-89,
2021-06-24,366,130,236,
2021-06-25,394,103,291,
2021-06-28,206,292,-86,
2021-06-29,222,273,-51,
2021-06-30,285,209,76,
2021-07-01,397,100,297,
2021-07-02,307,187,120,
2021-07-06,158,340,-182,
2021-07-07,334,164,170,
2021-07-08,69,426,-357,
2021-07-09,457,40,417,
2021-07-12,299,195,104,
2021-07-13,74,421,-347,
2021-07-14,243,253,-10,
2021-07-15,244,254,-10,
2021-07-16,162,336,-174,
2021-07-19,62,436,-374,
2021-07-20,443,54,389,
2021-07-21,365,132,233,
2021-07-22,198,297,-99,
2021-07-23,405,91,314,
2021-07-26,271,225,46,
2021-07-27,246,251,-5,
2021-07-28,229,268,-39,
2021-07-29,382,114,268,
2021-07-30,209,289,-80,
2021-08-02,212,284,-72,
2021-08-03,385,113,272,
2021-08-04,120,377,-257,
2021-08-05,344,152,192,
2021-08-06,311,185,126,
2021-08-09,180,313,-133,
2021-08-10,316,178,138,
2021-08-11,373,121,252,
2021-08-12,236,259,-23,
2021-08-13,268,229,39,
2021-08-16,287,207,80,
2021-08-17,150,347,-197,
2021-08-18,57,440,-383,
2021-08-19,228,269,-41,
2021-08-20,408,89,319,
2021-08-23,343,152,191,
2021-08-24,308,189,119,
2021-08-25,355,139,216,
2021-08-26,104,393,-289,
2021-08-27,431,65,366,
2021-08-30,250,246,4,
2021-08-31,257,240,17,
2021-09-01,244,252,-8,
2021-09-02,376,120,256,
2021-09-03,155,338,-183,
2021-09-07,90,406,-316,
2021-09-08,252,245,7,
2021-09-09,183,313,-130,
2021-09-10,133,363,-230,
2021-09-13,299,197,102,
2021-09-14,126,370,-244,
2021-09-15,393,104,289,
2021-09-16,191,305,-114,
2021-09-17,106,391,-285,
2021-09-20,51,447,-396,
2021-09-21,172,322,-150,
2021-09-22,413,84,329,
2021-09-23,424,74,350,
2021-09-24,269,229,40,
2021-09-27,263,235,28,
2021-09-28,53,440,-387,
2021-09-29,294,202,92,
2021-09-30,45,449,-404,
2021-10-01,390,104,286,
2021-10-04,152,343,-191,
2021-10-05,367,130,237,30.113333333333333
2021-10-06,278,218,60,30.513333333333332
2021-10-07,385,113,272,29.56
2021-10-08,187,307,-120,27.673333333333332
2021-10-11,127,369,-242,26.0
2021-10-12,239,254,-15,24.22
2021-10-13,283,210,73,23.986666666666668
2021-10-14,472,26,446,25.793333333333333
2021-10-15,323,172,151,25.206666666666667
2021-10-18,233,262,-29,26.28
2021-10-19,369,127,242,27.166666666666668
2021-10-20,389,109,280,29.986666666666668
2021-10-21,280,216,64,30.62
2021-10-22,330,164,166,31.22
2021-10-25,269,227,42,33.18666666666667
2021-10-26,222,272,-50,32.74666666666667
2021-10-27,78,419,-341,28.46
2021-10-28,401,94,307,27.833333333333332
2021-10-29,213,282,-69,28.06
2021-11-01,328,169,159,29.22
2021-11-02,285,210,75,30.213333333333335
2021-11-03,336,161,175,29.653333333333332
2021-11-04,209,288,-79,27.06
2021-11-05,321,176,145,27.786666666666665
2021-11-08,274,221,53,29.033333333333335
2021-11-09,248,246,2,28.98
2021-11-10,190,307,-117,26.773333333333333
2021-11-11,282,215,67,26.393333333333334
2021-11-12,319,178,141,27.5
2021-11-15,276,221,55,27.8
2021-11-16,252,244,8,26.013333333333332
2021-11-17,164,332,-168,23.493333333333332
2021-11-18,164,333,-169,23.46
2021-11-19,172,324,-152,23.26
2021-11-22,279,218,61,21.513333333333332
2021-11-23,315,183,132,23.80666666666667
2021-11-24,243,251,-8,21.74
2021-11-26,33,464,-431,18.686666666666667
2021-11-29,339,156,183,19.546666666666667
2021-11-30,6,492,-486,16.546666666666667
2021-12-01,98,399,-301,12.72
2021-12-02,453,45,408,16.966666666666665
2021-12-03,194,302,-108,15.18
2021-12-06,421,77,344,17.586666666666666
2021-12-07,432,63,369,19.746666666666666
2021-12-08,307,190,117,18.953333333333333
2021-12-09,115,381,-266,15.193333333333333
2021-12-10,357,140,217,17.066666666666666
2021-12-13,177,320,-143,18.226666666666667
2021-12-14,155,341,-186,19.886666666666667
2021-12-15,398,98,300,19.346666666666668
2021-12-16,266,229,37,17.226666666666667
2021-12-17,127,370,-243,16.3
2021-12-20,74,421,-347,15.893333333333333
2021-12-21,420,78,342,19.566666666666666
2021-12-22,395,101,294,20.153333333333332
2021-12-23,390,107,283,21.68
2021-12-27,450,45,405,22.766666666666666
2021-12-28,305,190,115,24.673333333333332
2021-12-29,334,160,174,24.893333333333334
2021-12-30,175,320,-145,22.986666666666668
2021-12-31,279,217,62,22.85333333333333
2022-01-03,246,252,-6,22.386666666666667
2022-01-04,332,164,168,23.433333333333334
2022-01-05,98,398,-300,21.613333333333333
2022-01-06,273,224,49,20.626666666666665
2022-01-07,235,261,-26,21.573333333333334
2022-01-10,185,310,-125,20.34
2022-01-11,373,125,248,23.04
2022-01-12,294,203,91,23.14
2022-01-13,217,281,-64,21.406666666666666
2022-01-14,213,283,-70,21.793333333333333
2022-01-18,55,441,-386,18.906666666666666
2022-01-19,113,383,-270,19.066666666666666
2022-01-20,81,413,-332,17.68
2022-01-21,95,401,-306,18.253333333333334
2022-01-24,314,183,131,16.113333333333333
2022-01-25,120,379,-259,14.173333333333334
2022-01-26,148,350,-202,13.42
2022-01-27,183,315,-132,10.966666666666667
2022-01-28,432,67,365,11.46
2022-01-31,420,77,343,14.32
2022-02-01,339,160,179,15.853333333333333
2022-02-02,371,127,244,16.973333333333333
2022-02-03,92,406,-314,12.9
2022-02-04,213,285,-72,11.62
2022-02-07,252,244,8,12.886666666666667
2022-02-08,376,121,255,13.453333333333333
2022-02-09,422,74,348,18.153333333333332
2022-02-10,65,434,-369,12.913333333333334
2022-02-11,102,397,-295,10.253333333333334
2022-02-14,107,389,-282,10.686666666666667
2022-02-15,394,105,289,12.68
2022-02-16,300,198,102,13.426666666666666
2022-02-17,71,426,-355,12.22
2022-02-18,172,326,-154,13.686666666666667
2022-02-22,116,380,-264,9.333333333333334
2022-02-23,60,437,-377,5.266666666666667
2022-02-24,317,181,136,6.833333333333333
2022-02-25,484,15,469,7.866666666666666
2022-02-28,140,359,-219,6.1
2022-03-01,98,400,-302,4.12
2022-03-02,461,38,423,7.2
2022-03-03,246,250,-4,5.386666666666667
2022-03-04,196,301,-105,5.22
2022-03-07,69,430,-361,3.2933333333333334
2022-03-08,196,301,-105,0.78
2022-03-09,414,85,329,4.6866666666666665
2022-03-10,190,308,-118,2.62
2022-03-11,91,403,-312,-0.3
2022-03-14,216,281,-65,0.15333333333333332
2022-03-15,441,56,385,1.8
2022-03-16,413,86,327,2.3
2022-03-17,415,82,333,4.673333333333333
2022-03-18,347,152,195,5.713333333333333
2022-03-21,187,307,-120,4.38
2022-03-22,353,143,210,7.093333333333334
2022-03-23,93,404,-311,7.573333333333333
2022-03-24,439,60,379,10.373333333333333
2022-03-25,378,121,257,9.96
2022-03-28,304,192,112,9.433333333333334
2022-03-29,430,69,361,11.046666666666667
2022-03-30,179,318,-139,8.68
2022-03-31,69,428,-359,8.213333333333333
2022-04-01,334,165,169,6.9
2022-04-04,246,250,-4,6.846666666666667
2022-04-05,144,354,-210,5.333333333333333
2022-04-06,221,278,-57,5.006666666666667
2022-04-07,272,224,48,3.62
2022-04-08,268,229,39,5.1
2022-04-11,114,383,-269,5.413333333333333
2022-04-12,202,296,-94,4.74
2022-04-13,400,98,302,7.62
2022-04-14,173,324,-151,8.146666666666667
2022-04-18,196,301,-105,6.766666666666667
2022-04-19,443,56,387,10.973333333333333
2022-04-20,376,119,257,10.76
2022-04-21,88,407,-319,9.393333333333333
2022-04-22,13,486,-473,8.14
2022-04-25,286,211,75,11.28
2022-04-26,30,469,-439,9.353333333333333
2022-04-27,267,228,39,7.42
2022-04-28,435,62,373,7.573333333333333
2022-04-29,14,485,-471,4.166666666666667
2022-05-02,268,228,40,4.246666666666667
2022-05-03,363,135,228,8.346666666666666
2022-05-04,475,24,451,10.74
2022-05-05,18,480,-462,10.353333333333333
2022-05-06,152,345,-193,7.16
2022-05-09,72,427,-355,6.066666666666666
2022-05-10,210,289,-79,3.96
2022-05-11,126,370,-244,1.9333333333333333
2022-05-12,288,210,78,0.64
2022-05-13,458,41,417,4.22
2022-05-16,195,304,-109,5.1066666666666665
2022-05-17,450,49,401,7.88
2022-05-18,8,491,-483,4.173333333333333
2022-05-19,223,276,-53,0.8466666666666667
2022-05-20,287,207,80,0.37333333333333335
2022-05-23,419,80,339,2.8266666666666667
2022-05-24,207,292,-85,0.6466666666666666
2022-05-25,373,124,249,0.44
2022-05-26,446,53,393,2.6333333333333333
2022-05-27,477,21,456,4.566666666666666
2022-05-31,96,398,-302,2.2733333333333334
2022-06-01,98,399,-301,0.6
2022-06-02,426,71,355,5.24
2022-06-03,69,429,-360,0.7933333333333333
2022-06-06,310,188,122,2.066666666666667
2022-06-07,419,79,340,3.2733333333333334
2022-06-08,49,449,-400,0.10666666666666667
2022-06-09,20,479,-459,-4.12
2022-06-10,34,464,-430,-6.46
2022-06-13,4,495,-491,-10.7
2022-06-14,171,326,-155,-12.086666666666666
2022-06-15,392,105,287,-10.186666666666667
2022-06-16,14,485,-471,-12.546666666666667
2022-06-17,288,209,79,-12.466666666666667
2022-06-21,438,61,377,-10.893333333333333
2022-06-22,251,246,5,-11.226666666666667
2022-06-23,328,170,158,-10.226666666666667
2022-06-24,479,19,460,-6.04
2022-06-27,235,260,-25,-5.08
2022-06-28,67,431,-364,-6.493333333333333
2022-06-29,201,297,-96,-7.54
2022-06-30,161,338,-177,-9.6
2022-07-01,426,72,354,-7.1866666666666665
2022-07-05,210,289,-79,-4.84
2022-07-06,273,223,50,-5.726666666666667
2022-07-07,392,106,286,-0.58
2022-07-08,162,333,-171,0.2866666666666667
2022-07-11,131,364,-233,-3.986666666666667
2022-07-12,166,331,-165,-4.366666666666666
2022-07-13,151,347,-196,-7.966666666666667
2022-07-14,147,351,-204,-11.786666666666667
2022-07-15,465,32,433,-9.68
2022-07-18,167,331,-164,-9.0
2022-07-19,489,10,479,-7.253333333333333
2022-07-20,338,158,180,-5.1
2022-07-21,361,135,226,-2.3533333333333335
2022-07-22,185,310,-125,-5.1866666666666665
2022-07-25,295,200,95,-4.8
2022-07-26,182,315,-133,-4.066666666666666
2022-07-27,429,70,359,0.64
2022-07-28,404,94,310,0.4266666666666667
2022-07-29,381,116,265,0.23333333333333334
2022-08-01,219,277,-58,-2.04
2022-08-02,116,382,-266,-6.513333333333334
2022-08-03,391,107,284,-5.386666666666667
2022-08-04,233,263,-30,-6.746666666666667
2022-08-05,281,215,66,-5.34
2022-08-08,315,180,135,-4.8533333333333335
2022-08-09,223,274,-51,-5.153333333333333
2022-08-10,463,34,429,-3.4133333333333336
2022-08-11,296,202,94,-0.7866666666666666
2022-08-12,470,28,442,1.8333333333333333
2022-08-15,293,204,89,2.6
2022-08-16,318,179,139,4.36
2022-08-17,105,393,-288,0.7866666666666666
2022-08-18,305,188,117,0.96
2022-08-19,79,419,-340,-0.88
2022-08-22,22,476,-454,-3.44
2022-08-23,195,299,-104,-1.56
2022-08-24,352,145,207,1.62
2022-08-25,462,37,425,6.666666666666667
2022-08-26,8,491,-483,5.486666666666666
2022-08-29,139,360,-221,3.14
2022-08-30,64,435,-371,2.3933333333333335
2022-08-31,85,412,-327,1.56
2022-09-01,284,211,73,2.9266666666666667
2022-09-02,85,412,-327,-1.6866666666666668
2022-09-06,187,311,-124,-4.8
2022-09-07,472,26,446,-3.02
2022-09-08,375,121,254,-2.953333333333333
2022-09-09,449,48,401,1.8133333333333332
2022-09-12,422,76,346,4.6
2022-09-13,4,495,-491,1.2733333333333334
2022-09-14,223,273,-50,-0.76
2022-09-15,140,354,-214,-4.506666666666667
2022-09-16,135,361,-226,-3.5533333333333332
2022-09-19,379,118,261,0.15333333333333332
2022-09-20,31,468,-437,-0.88
2022-09-21,31,466,-435,-5.706666666666667
2022-09-22,88,411,-323,-8.54
2022-09-23,64,435,-371,-8.646666666666667
2022-09-26,42,456,-414,-10.38
2022-09-27,193,303,-110,-9.353333333333333
2022-09-28,484,14,470,-3.7066666666666666
2022-09-29,39,460,-421,-7.42
2022-09-30,82,417,-335,-12.78
2022-10-03,485,13,472,-8.173333333333334
2022-10-04,493,6,487,-2.9133333333333336
2022-10-05,177,321,-144,-6.693333333333333
2022-10-06,85,414,-329,-8.86
2022-10-07,28,471,-443,-11.113333333333333
2022-10-10,189,307,-118,-9.493333333333334
2022-10-11,201,296,-95,-9.426666666666666
2022-10-12,155,342,-187,-12.866666666666667
2022-10-13,465,33,432,-9.2
2022-10-14,28,470,-442,-10.066666666666666
2022-10-17,474,25,449,-6.64
2022-10-18,446,51,395,-6.573333333333333
2022-10-19,117,380,-263,-10.506666666666666
2022-10-20,114,384,-270,-14.526666666666667
2022-10-21,468,31,437,-12.913333333333334
2022-10-24,409,86,323,-9.96
2022-10-25,445,53,392,-8.746666666666666
2022-10-26,283,212,71,-6.2
2022-10-27,280,219,61,-8.32
2022-10-28,450,49,401,-7.36
2022-10-31,150,347,-197,-9.42
2022-11-01,281,216,65,-11.393333333333333
2022-11-02,29,469,-440,-13.4
2022-11-03,203,295,-92,-11.62
2022-11-04,397,102,295,-10.78
2022-11-07,368,131,237,-9.173333333333334
2022-11-08,353,144,209,-6.38
2022-11-09,40,459,-419,-8.793333333333333
2022-11-10,483,16,467,-6.0
2022-11-11,313,185,128,-5.406666666666666
2022-11-14,104,392,-288,-5.533333333333333
2022-11-15,378,120,258,-3.1866666666666665
2022-11-16,155,343,-188,-6.453333333333333
2022-11-17,169,329,-160,-6.513333333333334
2022-11-18,386,112,274,-3.986666666666667
2022-11-21,267,232,35,-6.333333333333333
2022-11-22,442,52,390,-5.446666666666666
2022-11-23,354,142,212,-1.9066666666666667
2022-11-25,344,151,193,2.533333333333333
2022-11-28,37,462,-425,-0.8
2022-11-29,275,221,54,2.486666666666667
2022-11-30,475,22,453,5.246666666666667
2022-12-01,255,240,15,2.86
2022-12-02,243,252,-9,5.94
2022-12-05,28,471,-443,2.72
2022-12-06,103,396,-293,-0.7533333333333333
2022-12-07,221,275,-54,-4.12
2022-12-08,351,146,205,0.32666666666666666
2022-12-09,113,384,-271,-0.19333333333333333
2022-12-12,464,33,431,5.046666666666667
2022-12-13,345,149,196,6.88
2022-12-14,136,362,-226,7.0
2022-12-15,29,470,-441,3.54
2022-12-16,82,417,-335,-1.4733333333333334
2022-12-19,108,389,-281,-2.62
2022-12-20,268,228,40,-5.026666666666666
2022-12-21,463,36,427,1.04
2022-12-22,86,409,-323,-0.76
2022-12-23,416,83,333,0.9266666666666666
2022-12-27,307,191,116,-0.56
2022-12-28,26,471,-445,-2.96
2022-12-29,474,26,448,-1.6333333333333333
2022-12-30,132,365,-233,-5.806666666666667
2023-01-03,263,234,29,-8.653333333333334
2023-01-04,420,79,341,-4.366666666666666
2023-01-05,118,382,-264,-4.12
2023-01-06,476,24,452,-3.473333333333333
2023-01-09,258,240,18,-0.9533333333333334
2023-01-10,368,129,239,-0.17333333333333334
2023-01-11,403,96,307,-0.3933333333333333
2023-01-12,279,219,60,2.6733333333333333
2023-01-13,308,189,119,6.526666666666666
2023-01-17,189,306,-117,8.613333333333333
2023-01-18,53,447,-394,9.26
2023-01-19,114,384,-270,8.493333333333334
2023-01-20,458,42,416,9.353333333333333
2023-01-23,391,108,283,14.38
2023-01-24,226,270,-44,13.56
2023-01-25,283,214,69,11.506666666666666
2023-01-26,362,135,227,12.986666666666666
2023-01-27,263,235,28,12.12
2023-01-30,101,397,-296,7.08
2023-01-31,467,32,435,10.146666666666667
2023-02-01,365,133,232,14.12
2023-02-02,326,171,155,15.793333333333333
2023-02-03,105,393,-288,15.053333333333333
2023-02-06,152,347,-195,11.393333333333333
2023-02-07,348,150,198,13.24
2023-02-08,106,393,-287,10.993333333333334
2023-02-09,115,383,-268,7.3
2023-02-10,313,186,127,9.286666666666667
2023-02-13,446,54,392,13.453333333333333
2023-02-14,168,327,-159,13.493333333333334
2023-02-15,332,166,166,15.906666666666666
2023-02-16,74,425,-351,14.926666666666666
2023-02-17,256,243,13,12.126666666666667
2023-02-21,36,464,-428,10.366666666666667
2023-02-22,204,294,-90,6.573333333333333
2023-02-23,308,189,119,6.166666666666667
2023-02-24,106,392,-286,2.7533333333333334
2023-02-27,257,240,17,3.7
2023-02-28,199,298,-99,2.4066666666666667
2023-03-01,183,317,-134,2.4
2023-03-02,380,117,263,1.76
